Ulasan;Sentimen
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;netral
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
dijamin tidak mengecewakan;positif
barang bagus kurirnya ramah dan baik sukses selalu dan murah rezeki buat tokonya ya;positif
ngerasa ga nyaman di areal mis v;negatif
penjual baik ramah makasih ya sayang;positif
biar bisa berlangganan di sini belum di coba soalnya baru datang paket nya;netral
dicoba dulu nanti kalau sesuai cocok insaallah diorder dan selanjutnya tambah bintangnya;netral
shopee kurir yang amanah semoga tambah berkah aamiin;positif
khasiat nya belum tau baru di minum sekali mudah cocok sesuai sama iklan nya;netral
harga sangat terjangkau selanjutnya pesan lagi;positif
karena baca ulasan ada yang cocok semoga aku juga cocok;netral
semoga cocok bisa jadi langganan makasih penjual;netral
terima kasih banyak penjual;positif
mudah ditelan;positif
terima kasih penjual semoga amanah dan kualitas barangnya bisa dipercaya alias bagus;positif
dan semoga ada manfaatnya belum dicoba baru membuka kotak;positif
semoga amanah pengantaran cepat sampai nya;netral
sudah di coba alhamdulillah berkhasiat sih;positif
langsung diminum mudah cocok di aku baru pertama mencoba;netral
baru mau nyoba klo ada hasil mau beli lagi nanti;netral
respon penjual baikk;positif
semoga aja cocok dan bermanfaat;netral
mudah mudahan cocok;netral
selanjutnya pesan kalo cocok ya makasiih;netral
privasi terjamin mudahan cocok makasih ya penjual;netral
mudahan cocok;netral
belum tahu hasilnya belum ada efek signifikan semoga cocok nantinya;netral
pengalaman kurang baik pengiriman telat dan kemasan rusak produk gagal total;negatif
ga ada perubahan sama sekali malah bikin mulas produk gagal total;negatif
hasilnya jauh dari ekspektasi tidak nyaman dipakai kurang memuaskan;negatif
hasilnya jauh dari ekspektasi cuma buang uang kurang memuaskan;negatif
efeknya lama banget muncul tidak nyaman dipakai kurang memuaskan;negatif
baru coba sedikit cocok untuk pemula semoga ada hasil;netral
kemasan rapi masih proses penyesuaian semoga ada hasil;netral
sudah pakai seminggu malah bikin mulas tidak beli lagi;negatif
rasa standar saja cocok untuk pemula oke untuk sekarang;netral
kemasan rapi netral tidak ada perubahan berarti oke untuk sekarang;netral
bau kurang enak pengiriman telat dan kemasan rusak tidak rekomendasi;negatif
respon penjual baik butuh waktu untuk lihat hasil tidak buruk;netral
rasa standar saja butuh waktu untuk lihat hasil semoga ada hasil;netral
respon penjual baik masih proses penyesuaian moga cocok nantinya;netral
respon penjual baik belum ada efek signifikan lumayan lah;netral
bau kurang enak hasilnya mengecewakan tidak beli lagi;negatif
masih tunggu hasil butuh waktu untuk lihat hasil oke untuk sekarang;netral
setelah coba beberapa hari teksturnya aneh sangat mengecewakan;negatif
bikin pusing malah bikin mulas kurang memuaskan;negatif
aroma biasa saja butuh waktu untuk lihat hasil biasa saja;netral
efeknya lama banget muncul cuma buang uang kurang memuaskan;negatif
kemasan rapi belum bisa menilai efeknya lumayan lah;netral
produk aman digunakan belum ada efek signifikan moga cocok nantinya;netral
pengalaman kurang baik tidak ada efek asli tidak sesuai deskripsi;negatif
tidak direkomendasikan tidak nyaman dipakai tidak beli lagi;negatif
pengiriman cepat masih proses penyesuaian semoga ada hasil;netral
pengiriman cepat masih proses penyesuaian biasa saja;netral
kemasan rapi belum bisa menilai efeknya moga cocok nantinya;netral
respon penjual baik butuh waktu untuk lihat hasil biasa saja;netral
aroma biasa saja tidak ada masalah sejauh ini biasa saja;netral
jujur tidak sesuai harapan cuma buang uang kurang memuaskan;negatif
sudah pakai seminggu harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
kemasan rapi masih proses penyesuaian lumayan lah;netral
pengalaman kurang baik tidak ada efek asli tidak rekomendasi;negatif
baru coba sedikit tidak ada masalah sejauh ini moga cocok nantinya;netral
respon penjual baik netral tidak ada perubahan berarti lumayan lah;netral
rasa terlalu pahit bikin perut tidak enak produk gagal total;negatif
efeknya lama banget muncul tidak ada efek asli produk gagal total;negatif
sudah pakai seminggu belum terasa manfaatnya tidak beli lagi;negatif
tidak direkomendasikan harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
aroma biasa saja tidak ada masalah sejauh ini tidak buruk;netral
pengalaman kurang baik harga tidak sebanding kualitas sangat mengecewakan;negatif
pengalaman kurang baik belum terasa manfaatnya kapok beli sini lagi;negatif
kemasan rapi tidak ada masalah sejauh ini lumayan lah;netral
baru coba sedikit belum bisa menilai efeknya biasa saja;netral
pengiriman cepat cocok untuk pemula biasa saja;netral
baru coba sedikit belum bisa menilai efeknya oke untuk sekarang;netral
belum tahu hasilnya butuh waktu untuk lihat hasil biasa saja;netral
produk aman digunakan butuh waktu untuk lihat hasil biasa saja;netral
bikin pusing tidak ada efek asli tidak beli lagi;negatif
pengalaman kurang baik hasilnya mengecewakan tidak beli lagi;negatif
kemasan rapi cocok untuk pemula semoga ada hasil;netral
baru coba sedikit belum ada efek signifikan oke untuk sekarang;netral
setelah coba beberapa hari tidak nyaman dipakai parah banget;negatif
bau kurang enak tidak ada efek asli kurang memuaskan;negatif
aroma biasa saja lumayan untuk percobaan oke untuk sekarang;netral
sudah pakai seminggu teksturnya aneh tidak beli lagi;negatif
rasa terlalu pahit cuma buang uang tidak sesuai deskripsi;negatif
produk aman digunakan belum ada efek signifikan semoga ada hasil;netral
masih tunggu hasil masih proses penyesuaian semoga cocok nantinya;netral
pengiriman cepat tidak ada masalah sejauh ini semoga cocok nantinya;netral
rasa standar saja cocok untuk pemula lumayan lah;netral
masih tunggu hasil butuh waktu untuk lihat hasil oke untuk sekarang;netral
respon penjual baik masih proses penyesuaian tidak buruk;netral
tidak direkomendasikan malah bikin mulas tidak sesuai deskripsi;negatif
rasa standar saja cocok untuk pemula oke untuk sekarang;netral
setelah coba beberapa hari hasilnya mengecewakan tidak beli lagi;negatif
sudah pakai seminggu malah bikin mulas nyesel beli;negatif
efeknya lama banget muncul harga tidak sebanding kualitas kurang memuaskan;negatif
aroma biasa saja belum bisa menilai efeknya moga cocok nantinya;netral
sudah pakai seminggu bikin perut tidak enak kurang memuaskan;negatif
aroma biasa saja masih proses penyesuaian semoga cocok nantinya;netral
belum tahu hasilnya belum bisa menilai efeknya oke untuk sekarang;netral
setelah coba beberapa hari pengiriman telat dan kemasan rusak nyesel beli;negatif
produk aman digunakan lumayan untuk percobaan tidak buruk;netral
aroma biasa saja tidak ada masalah sejauh ini biasa saja;netral
rasa standar saja cocok untuk pemula lumayan lah;netral
pengiriman cepat tidak ada masalah sejauh ini semoga ada hasil;netral
pengalaman kurang baik cuma buang uang produk gagal total;negatif
tidak direkomendasikan tidak nyaman dipakai tidak sesuai deskripsi;negatif
respon penjual baik masih proses penyesuaian oke untuk sekarang;netral
bau kurang enak hasilnya mengecewakan nyesel beli;negatif
belum tahu hasilnya netral tidak ada perubahan berarti semoga ada hasil;netral
bau kurang enak bikin perut tidak enak tidak sesuai deskripsi;negatif
aroma biasa saja butuh waktu untuk lihat hasil semoga cocok nantinya;netral
aroma biasa saja lumayan untuk percobaan semoga cocok nantinya;netral
pengiriman cepat belum bisa menilai efeknya lumayan lah;netral
bikin pusing tidak nyaman dipakai kapok beli sini lagi;negatif
sudah pakai seminggu cuma buang uang tidak beli lagi;negatif
jujur tidak sesuai harapan bikin perut tidak enak parah banget;negatif
jujur tidak sesuai harapan bikin perut tidak enak parah banget;negatif
hasilnya jauh dari ekspektasi tidak nyaman dipakai nyesel beli;negatif
sudah pakai seminggu pengiriman telat dan kemasan rusak tidak sesuai deskripsi;negatif
baru coba sedikit belum bisa menilai efeknya moga cocok nantinya;netral
tidak direkomendasikan belum terasa manfaatnya kurang memuaskan;negatif
setelah coba beberapa hari malah bikin mulas nyesel beli;negatif
rasa standar saja cocok untuk pemula tidak buruk;netral
kemasan rapi butuh waktu untuk lihat hasil oke untuk sekarang;netral
hasilnya jauh dari ekspektasi harga tidak sebanding kualitas parah banget;negatif
ga ada perubahan sama sekali bikin perut tidak enak kapok beli sini lagi;negatif
pengalaman kurang baik tidak nyaman dipakai parah banget;negatif
rasa standar saja belum bisa menilai efeknya tidak buruk;netral
masih tunggu hasil masih proses penyesuaian biasa saja;netral
jujur tidak sesuai harapan malah bikin mulas sangat mengecewakan;negatif
masih tunggu hasil lumayan untuk percobaan lumayan lah;netral
efeknya lama banget muncul bikin perut tidak enak produk gagal total;negatif
kemasan rapi butuh waktu untuk lihat hasil biasa saja;netral
sudah pakai seminggu teksturnya aneh produk gagal total;negatif
bikin pusing harga tidak sebanding kualitas sangat mengecewakan;negatif
setelah coba beberapa hari harga tidak sebanding kualitas nyesel beli;negatif
aku kecewa bikin perut tidak enak sangat mengecewakan;negatif
masih tunggu hasil tidak ada masalah sejauh ini lumayan lah;netral
baru coba sedikit lumayan untuk percobaan oke untuk sekarang;netral
produk aman digunakan tidak ada masalah sejauh ini semoga ada hasil;netral
masih tunggu hasil butuh waktu untuk lihat hasil semoga cocok nantinya;netral
bikin pusing tidak ada efek asli sangat mengecewakan;negatif
efeknya lama banget muncul tidak ada efek asli parah banget;negatif
masih tunggu hasil butuh waktu untuk lihat hasil tidak buruk;netral
ga ada perubahan sama sekali bikin perut tidak enak kurang memuaskan;negatif
efeknya lama banget muncul harga tidak sebanding kualitas nyesel beli;negatif
bikin pusing malah bikin mulas produk gagal total;negatif
pengalaman kurang baik malah bikin mulas nyesel beli;negatif
tidak direkomendasikan bikin perut tidak enak tidak sesuai deskripsi;negatif
pengalaman kurang baik harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
ga ada perubahan sama sekali hasilnya mengecewakan nyesel beli;negatif
aroma biasa saja netral tidak ada perubahan berarti biasa saja;netral
rasa standar saja belum ada efek signifikan tidak buruk;netral
ga ada perubahan sama sekali teksturnya aneh nyesel beli;negatif
pengiriman cepat netral tidak ada perubahan berarti biasa saja;netral
produk aman digunakan belum ada efek signifikan semoga ada hasil;netral
respon penjual baik butuh waktu untuk lihat hasil oke untuk sekarang;netral
belum tahu hasilnya netral tidak ada perubahan berarti semoga cocok nantinya;netral
jujur tidak sesuai harapan pengiriman telat dan kemasan rusak kurang memuaskan;negatif
ga ada perubahan sama sekali hasilnya mengecewakan kurang memuaskan;negatif
respon penjual baik cocok untuk pemula lumayan lah;netral
bau kurang enak malah bikin mulas sangat mengecewakan;negatif
produk aman digunakan lumayan untuk percobaan semoga ada hasil;netral
respon penjual baik belum ada efek signifikan oke untuk sekarang;netral
masih tunggu hasil masih proses penyesuaian lumayan lah;netral
rasa terlalu pahit bikin perut tidak enak produk gagal total;negatif
pengiriman cepat lumayan untuk percobaan tidak buruk;netral
tidak direkomendasikan tidak ada efek asli tidak beli lagi;negatif
respon penjual baik netral tidak ada perubahan berarti semoga ada hasil;netral
ga ada perubahan sama sekali malah bikin mulas kurang memuaskan;negatif
pengiriman cepat masih proses penyesuaian tidak buruk;netral
baru coba sedikit netral tidak ada perubahan berarti biasa saja;netral
rasa standar saja cocok untuk pemula moga cocok nantinya;netral
efeknya lama banget muncul teksturnya aneh tidak sesuai deskripsi;negatif
kemasan rapi netral tidak ada perubahan berarti tidak buruk;netral
bikin pusing harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
efeknya lama banget muncul tidak ada efek asli kurang memuaskan;negatif
respon penjual baik netral tidak ada perubahan berarti lumayan lah;netral
baru coba sedikit netral tidak ada perubahan berarti semoga ada hasil;netral
respon penjual baik tidak ada masalah sejauh ini semoga ada hasil;netral
respon penjual baik netral tidak ada perubahan berarti lumayan lah;netral
produk aman digunakan cocok untuk pemula moga cocok nantinya;netral
respon penjual baik lumayan untuk percobaan moga cocok nantinya;netral
kemasan rapi belum ada efek signifikan moga cocok nantinya;netral
jujur tidak sesuai harapan tidak ada efek asli tidak rekomendasi;negatif
jujur tidak sesuai harapan cuma buang uang sangat mengecewakan;negatif
aroma biasa saja netral tidak ada perubahan berarti oke untuk sekarang;netral
produk aman digunakan lumayan untuk percobaan semoga ada hasil;netral
aroma biasa saja tidak ada masalah sejauh ini oke untuk sekarang;netral
tidak direkomendasikan malah bikin mulas kurang memuaskan;negatif
baru coba sedikit masih proses penyesuaian lumayan lah;netral
bikin pusing bikin perut tidak enak kapok beli sini lagi;negatif
belum tahu hasilnya masih proses penyesuaian semoga ada hasil;netral
produk aman digunakan cocok untuk pemula biasa saja;netral
respon penjual baik lumayan untuk percobaan tidak buruk;netral
setelah coba beberapa hari hasilnya mengecewakan sangat mengecewakan;negatif
rasa standar saja netral tidak ada perubahan berarti lumayan lah;netral
hasilnya jauh dari ekspektasi cuma buang uang tidak rekomendasi;negatif
pengalaman kurang baik belum terasa manfaatnya sangat mengecewakan;negatif
hasilnya jauh dari ekspektasi cuma buang uang parah banget;negatif
aroma biasa saja masih proses penyesuaian moga cocok nantinya;netral
setelah coba beberapa hari cuma buang uang produk gagal total;negatif
kemasan rapi belum ada efek signifikan moga cocok nantinya;netral
respon penjual baik masih proses penyesuaian semoga ada hasil;netral
baru coba sedikit belum bisa menilai efeknya tidak buruk;netral
pengalaman kurang baik belum terasa manfaatnya kapok beli sini lagi;negatif
aroma biasa saja belum ada efek signifikan moga cocok nantinya;netral
efeknya lama banget muncul cuma buang uang kapok beli sini lagi;negatif
baru coba sedikit masih proses penyesuaian semoga ada hasil;netral
setelah coba beberapa hari teksturnya aneh nyesel beli;negatif
rasa standar saja cocok untuk pemula oke untuk sekarang;netral
respon penjual baik lumayan untuk percobaan lumayan lah;netral
bikin pusing hasilnya mengecewakan kapok beli sini lagi;negatif
efeknya lama banget muncul hasilnya mengecewakan sangat mengecewakan;negatif
aroma biasa saja belum bisa menilai efeknya semoga ada hasil;netral
aroma biasa saja netral tidak ada perubahan berarti semoga ada hasil;netral
baru coba sedikit netral tidak ada perubahan berarti tidak buruk;netral
hasilnya jauh dari ekspektasi malah bikin mulas tidak sesuai deskripsi;negatif
pengiriman cepat belum bisa menilai efeknya biasa saja;netral
rasa terlalu pahit bikin perut tidak enak kapok beli sini lagi;negatif
masih tunggu hasil tidak ada masalah sejauh ini oke untuk sekarang;netral
belum tahu hasilnya tidak ada masalah sejauh ini moga cocok nantinya;netral
produk aman digunakan lumayan untuk percobaan lumayan lah;netral
setelah coba beberapa hari hasilnya mengecewakan kapok beli sini lagi;negatif
setelah coba beberapa hari teksturnya aneh kapok beli sini lagi;negatif
respon penjual baik belum ada efek signifikan semoga ada hasil;netral
kemasan rapi butuh waktu untuk lihat hasil semoga ada hasil;netral
ga ada perubahan sama sekali harga tidak sebanding kualitas kurang memuaskan;negatif
tidak direkomendasikan tidak ada efek asli sangat mengecewakan;negatif
bikin pusing tidak ada efek asli nyesel beli;negatif
kemasan rapi belum ada efek signifikan biasa saja;netral
pengalaman kurang baik harga tidak sebanding kualitas tidak rekomendasi;negatif
belum tahu hasilnya cocok untuk pemula biasa saja;netral
bikin pusing harga tidak sebanding kualitas produk gagal total;negatif
efeknya lama banget muncul pengiriman telat dan kemasan rusak tidak rekomendasi;negatif
tidak direkomendasikan harga tidak sebanding kualitas tidak rekomendasi;negatif
kemasan rapi cocok untuk pemula tidak buruk;netral
pengiriman cepat belum bisa menilai efeknya tidak buruk;netral
jujur tidak sesuai harapan tidak ada efek asli parah banget;negatif
efeknya lama banget muncul cuma buang uang nyesel beli;negatif
tidak direkomendasikan belum terasa manfaatnya nyesel beli;negatif
sudah pakai seminggu cuma buang uang kapok beli sini lagi;negatif
bau kurang enak malah bikin mulas kurang memuaskan;negatif
aroma biasa saja tidak ada masalah sejauh ini moga cocok nantinya;netral
bau kurang enak bikin perut tidak enak tidak sesuai deskripsi;negatif
masih tunggu hasil belum ada efek signifikan oke untuk sekarang;netral
masih tunggu hasil masih proses penyesuaian semoga ada hasil;netral
bikin pusing tidak nyaman dipakai kurang memuaskan;negatif
respon penjual baik masih proses penyesuaian moga cocok nantinya;netral
baru coba sedikit cocok untuk pemula moga cocok nantinya;netral
belum tahu hasilnya butuh waktu untuk lihat hasil biasa saja;netral
aku kecewa harga tidak sebanding kualitas parah banget;negatif
pengalaman kurang baik hasilnya mengecewakan sangat mengecewakan;negatif
respon penjual baik tidak ada masalah sejauh ini lumayan lah;netral
kemasan rapi cocok untuk pemula lumayan lah;netral
pengalaman kurang baik tidak nyaman dipakai parah banget;negatif
rasa standar saja belum ada efek signifikan tidak buruk;netral
bikin pusing tidak nyaman dipakai tidak rekomendasi;negatif
respon penjual baik netral tidak ada perubahan berarti lumayan lah;netral
rasa terlalu pahit hasilnya mengecewakan kurang memuaskan;negatif
produk aman digunakan netral tidak ada perubahan berarti tidak buruk;netral
aku kecewa harga tidak sebanding kualitas parah banget;negatif
aku kecewa hasilnya mengecewakan parah banget;negatif
belum tahu hasilnya lumayan untuk percobaan biasa saja;netral
kemasan rapi belum bisa menilai efeknya biasa saja;netral
aroma biasa saja butuh waktu untuk lihat hasil tidak buruk;netral
hasilnya jauh dari ekspektasi harga tidak sebanding kualitas tidak rekomendasi;negatif
rasa standar saja masih proses penyesuaian lumayan lah;netral
baru coba sedikit masih proses penyesuaian biasa saja;netral
ga ada perubahan sama sekali bikin perut tidak enak produk gagal total;negatif
ga ada perubahan sama sekali bikin perut tidak enak tidak rekomendasi;negatif
pengalaman kurang baik bikin perut tidak enak produk gagal total;negatif
kemasan rapi netral tidak ada perubahan berarti oke untuk sekarang;netral
produk aman digunakan masih proses penyesuaian biasa saja;netral
masih tunggu hasil tidak ada masalah sejauh ini lumayan lah;netral
setelah coba beberapa hari hasilnya mengecewakan kurang memuaskan;negatif
rasa terlalu pahit belum terasa manfaatnya tidak sesuai deskripsi;negatif
kemasan rapi netral tidak ada perubahan berarti oke untuk sekarang;netral
produk aman digunakan netral tidak ada perubahan berarti semoga ada hasil;netral
hasilnya jauh dari ekspektasi harga tidak sebanding kualitas sangat mengecewakan;negatif
ga ada perubahan sama sekali belum terasa manfaatnya sangat mengecewakan;negatif
produk aman digunakan butuh waktu untuk lihat hasil moga cocok nantinya;netral
pengalaman kurang baik cuma buang uang produk gagal total;negatif
respon penjual baik netral tidak ada perubahan berarti oke untuk sekarang;netral
produk aman digunakan cocok untuk pemula lumayan lah;netral
tidak direkomendasikan tidak nyaman dipakai parah banget;negatif
rasa terlalu pahit pengiriman telat dan kemasan rusak parah banget;negatif
hasilnya jauh dari ekspektasi tidak nyaman dipakai tidak sesuai deskripsi;negatif
respon penjual baik lumayan untuk percobaan biasa saja;netral
kemasan rapi cocok untuk pemula tidak buruk;netral
baru coba sedikit belum bisa menilai efeknya tidak buruk;netral
belum tahu hasilnya cocok untuk pemula lumayan lah;netral
belum tahu hasilnya belum ada efek signifikan biasa saja;netral
kemasan rapi tidak ada masalah sejauh ini biasa saja;netral
baru coba sedikit masih proses penyesuaian oke untuk sekarang;netral
rasa standar saja cocok untuk pemula moga cocok nantinya;netral
produk aman digunakan butuh waktu untuk lihat hasil moga cocok nantinya;netral
produk aman digunakan butuh waktu untuk lihat hasil semoga ada hasil;netral
respon penjual baik butuh waktu untuk lihat hasil semoga ada hasil;netral
belum tahu hasilnya masih proses penyesuaian biasa saja;netral
pengalaman kurang baik malah bikin mulas tidak rekomendasi;negatif
produk aman digunakan butuh waktu untuk lihat hasil biasa saja;netral
sudah pakai seminggu cuma buang uang sangat mengecewakan;negatif
ga ada perubahan sama sekali malah bikin mulas tidak sesuai deskripsi;negatif
bau kurang enak malah bikin mulas tidak rekomendasi;negatif
efeknya lama banget muncul belum terasa manfaatnya tidak beli lagi;negatif
respon penjual baik lumayan untuk percobaan biasa saja;netral
rasa standar saja cocok untuk pemula moga cocok nantinya;netral
efeknya lama banget muncul bikin perut tidak enak kurang memuaskan;negatif
kemasan rapi tidak ada masalah sejauh ini oke untuk sekarang;netral
jujur tidak sesuai harapan tidak nyaman dipakai kurang memuaskan;negatif
kemasan rapi lumayan untuk percobaan semoga ada hasil;netral
jujur tidak sesuai harapan belum terasa manfaatnya tidak rekomendasi;negatif
respon penjual baik netral tidak ada perubahan berarti semoga ada hasil;netral
baru coba sedikit belum ada efek signifikan lumayan lah;netral
hasilnya jauh dari ekspektasi belum terasa manfaatnya tidak sesuai deskripsi;negatif
setelah coba beberapa hari tidak ada efek asli nyesel beli;negatif
jujur tidak sesuai harapan hasilnya mengecewakan nyesel beli;negatif
tidak direkomendasikan cuma buang uang kurang memuaskan;negatif
belum tahu hasilnya butuh waktu untuk lihat hasil oke untuk sekarang;netral
jujur tidak sesuai harapan malah bikin mulas nyesel beli;negatif
masih tunggu hasil belum ada efek signifikan biasa saja;netral
baru coba sedikit tidak ada masalah sejauh ini tidak buruk;netral
ga ada perubahan sama sekali teksturnya aneh tidak rekomendasi;negatif
sudah pakai seminggu pengiriman telat dan kemasan rusak tidak sesuai deskripsi;negatif
jujur tidak sesuai harapan tidak nyaman dipakai tidak beli lagi;negatif
pengalaman kurang baik hasilnya mengecewakan nyesel beli;negatif
respon penjual baik tidak ada masalah sejauh ini tidak buruk;netral
aku kecewa malah bikin mulas tidak rekomendasi;negatif
pengiriman cepat belum bisa menilai efeknya tidak buruk;netral
aroma biasa saja netral tidak ada perubahan berarti tidak buruk;netral
rasa terlalu pahit tidak ada efek asli produk gagal total;negatif
sudah pakai seminggu bikin perut tidak enak kapok beli sini lagi;negatif
aku kecewa tidak nyaman dipakai tidak rekomendasi;negatif
masih tunggu hasil belum bisa menilai efeknya moga cocok nantinya;netral
sudah pakai seminggu cuma buang uang kurang memuaskan;negatif
ga ada perubahan sama sekali hasilnya mengecewakan sangat mengecewakan;negatif
belum tahu hasilnya butuh waktu untuk lihat hasil oke untuk sekarang;netral
baru coba sedikit cocok untuk pemula biasa saja;netral
baru coba sedikit masih proses penyesuaian moga cocok nantinya;netral
ga ada perubahan sama sekali tidak nyaman dipakai tidak sesuai deskripsi;negatif
kemasan rapi butuh waktu untuk lihat hasil moga cocok nantinya;netral
aku kecewa malah bikin mulas parah banget;negatif
aroma biasa saja butuh waktu untuk lihat hasil semoga ada hasil;netral
hasilnya jauh dari ekspektasi teksturnya aneh sangat mengecewakan;negatif
aku kecewa malah bikin mulas nyesel beli;negatif
ga ada perubahan sama sekali harga tidak sebanding kualitas nyesel beli;negatif
rasa standar saja netral tidak ada perubahan berarti moga cocok nantinya;netral
masih tunggu hasil butuh waktu untuk lihat hasil lumayan lah;netral
baru coba sedikit belum bisa menilai efeknya lumayan lah;netral
belum tahu hasilnya cocok untuk pemula moga cocok nantinya;netral
efeknya lama banget muncul tidak nyaman dipakai parah banget;negatif
jujur tidak sesuai harapan hasilnya mengecewakan produk gagal total;negatif
efeknya lama banget muncul cuma buang uang parah banget;negatif
respon penjual baik lumayan untuk percobaan biasa saja;netral
pengiriman cepat lumayan untuk percobaan oke untuk sekarang;netral
baru coba sedikit belum bisa menilai efeknya semoga ada hasil;netral
efeknya lama banget muncul harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
ga ada perubahan sama sekali belum terasa manfaatnya tidak beli lagi;negatif
rasa standar saja masih proses penyesuaian semoga ada hasil;netral
aroma biasa saja netral tidak ada perubahan berarti tidak buruk;netral
bikin pusing hasilnya mengecewakan tidak beli lagi;negatif
masih tunggu hasil cocok untuk pemula lumayan lah;netral
sudah pakai seminggu harga tidak sebanding kualitas parah banget;negatif
kemasan rapi belum bisa menilai efeknya moga cocok nantinya;netral
belum tahu hasilnya lumayan untuk percobaan moga cocok nantinya;netral
respon penjual baik belum ada efek signifikan moga cocok nantinya;netral
ga ada perubahan sama sekali harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
hasilnya jauh dari ekspektasi hasilnya mengecewakan tidak rekomendasi;negatif
ga ada perubahan sama sekali tidak nyaman dipakai parah banget;negatif
masih tunggu hasil lumayan untuk percobaan lumayan lah;netral
produk aman digunakan netral tidak ada perubahan berarti semoga ada hasil;netral
masih tunggu hasil belum ada efek signifikan moga cocok nantinya;netral
masih tunggu hasil netral tidak ada perubahan berarti oke untuk sekarang;netral
kemasan rapi netral tidak ada perubahan berarti biasa saja;netral
kemasan rapi belum bisa menilai efeknya tidak buruk;netral
rasa terlalu pahit teksturnya aneh kurang memuaskan;negatif
produk aman digunakan belum bisa menilai efeknya semoga ada hasil;netral
hasilnya jauh dari ekspektasi bikin perut tidak enak kapok beli sini lagi;negatif
tidak direkomendasikan belum terasa manfaatnya sangat mengecewakan;negatif
belum tahu hasilnya netral tidak ada perubahan berarti semoga ada hasil;netral
kemasan rapi tidak ada masalah sejauh ini oke untuk sekarang;netral
produk aman digunakan cocok untuk pemula moga cocok nantinya;netral
kemasan rapi butuh waktu untuk lihat hasil moga cocok nantinya;netral
efeknya lama banget muncul tidak nyaman dipakai parah banget;negatif
setelah coba beberapa hari tidak ada efek asli sangat mengecewakan;negatif
rasa standar saja belum bisa menilai efeknya biasa saja;netral
aku kecewa bikin perut tidak enak kapok beli sini lagi;negatif
hasilnya jauh dari ekspektasi malah bikin mulas produk gagal total;negatif
rasa standar saja tidak ada masalah sejauh ini moga cocok nantinya;netral
produk aman digunakan lumayan untuk percobaan tidak buruk;netral
hasilnya jauh dari ekspektasi belum terasa manfaatnya kapok beli sini lagi;negatif
bikin pusing malah bikin mulas kapok beli sini lagi;negatif
produk aman digunakan butuh waktu untuk lihat hasil tidak buruk;netral
kemasan rapi belum ada efek signifikan oke untuk sekarang;netral
rasa standar saja belum ada efek signifikan tidak buruk;netral
sudah pakai seminggu belum terasa manfaatnya tidak sesuai deskripsi;negatif
pengalaman kurang baik tidak ada efek asli kapok beli sini lagi;negatif
efeknya lama banget muncul malah bikin mulas kurang memuaskan;negatif
aroma biasa saja masih proses penyesuaian tidak buruk;netral
setelah coba beberapa hari belum terasa manfaatnya parah banget;negatif
belum tahu hasilnya netral tidak ada perubahan berarti lumayan lah;netral
belum tahu hasilnya netral tidak ada perubahan berarti oke untuk sekarang;netral
tidak direkomendasikan tidak ada efek asli produk gagal total;negatif
aku kecewa pengiriman telat dan kemasan rusak nyesel beli;negatif
aku kecewa pengiriman telat dan kemasan rusak parah banget;negatif
tidak direkomendasikan belum terasa manfaatnya parah banget;negatif
belum tahu hasilnya netral tidak ada perubahan berarti tidak buruk;netral
bikin pusing malah bikin mulas tidak rekomendasi;negatif
pengalaman kurang baik cuma buang uang tidak sesuai deskripsi;negatif
aroma biasa saja belum bisa menilai efeknya oke untuk sekarang;netral
ga ada perubahan sama sekali malah bikin mulas sangat mengecewakan;negatif
aroma biasa saja cocok untuk pemula semoga ada hasil;netral
ga ada perubahan sama sekali teksturnya aneh produk gagal total;negatif
pengiriman cepat belum bisa menilai efeknya biasa saja;netral
rasa standar saja masih proses penyesuaian moga cocok nantinya;netral
ga ada perubahan sama sekali teksturnya aneh tidak sesuai deskripsi;negatif
bau kurang enak cuma buang uang tidak beli lagi;negatif
bikin pusing belum terasa manfaatnya kurang memuaskan;negatif
bikin pusing pengiriman telat dan kemasan rusak parah banget;negatif
rasa terlalu pahit harga tidak sebanding kualitas tidak rekomendasi;negatif
efeknya lama banget muncul tidak ada efek asli produk gagal total;negatif
aroma biasa saja belum ada efek signifikan lumayan lah;netral
ga ada perubahan sama sekali bikin perut tidak enak kapok beli sini lagi;negatif
aku kecewa cuma buang uang tidak sesuai deskripsi;negatif
bikin pusing harga tidak sebanding kualitas tidak sesuai deskripsi;negatif
